Brewery name,City,State,Alex
Buffalo Brewpub,Buffalo,NY,1/1/2010
Pearl Street,Buffalo,NY,1/1/2010
Captain Lawrence,Elmsford,NY,1/1/2011
Chelsea,Manhattan,NY,1/1/2011
Brooklyn,Brooklyn,NY,8/1/2011
Good Nature,Hamilton,NY,8/1/2011
Birreria,Manhattan,NY,3/29/2012
Woodcock Brothers,Wilson,NY,12/22/2012
Lake Placid,Lake Placid,NY,2/1/2013
Amherst,Amherst,MA,4/5/2013
The People's Pint,Greenfield,MA,4/5/2013
Ommegang,Cooperstown,NY,2/16/2014
BJ's Brewhouse,Orlando,FL,3/17/2014
Sea Dog,Orlando,FL,3/20/2014
Singlecut,Queens,NY,4/12/2014
Rockaway,Queens,NY,4/26/2014
Blue Line,Saranac Lake,NY,5/9/2014
Transmitter,Queens,NY,5/18/2014
Ellicottville,Ellicottville,NY,6/15/2014
Southern Tier,Lakeside,NY,6/15/2014
Barrier,Oceanside,NY,6/21/2014
Elysian,Seattle,WA,7/3/2014
Pike,Seattle,WA,7/3/2014
Fremont,Seattle,WA,7/4/2014
Hilliard's,Seattle,WA,7/5/2014
NW Peaks,Seattle,WA,7/5/2014
Peddler,Seattle,WA,7/5/2014
Populuxe,Seattle,WA,7/5/2014
Reuben's,Seattle,WA,7/5/2014
Stoup,Seattle,WA,7/5/2014
Great Divide,Denver,CO,7/7/2014
Prost,Denver,CO,7/7/2014
River North,Denver,CO,7/7/2014
Denver Beer Co,Denver,CO,7/8/2014
Adirondack Pub,Lake George,NY,7/14/2014
Other Half,Brooklyn,NY,7/18/2014
Heartland,Manhattan,NY,8/3/2014
508 Gastropub,Manhattan,NY,8/15/2014
Gun Hill,Bronx,NY,8/24/2014
3 Stars,DC,DC,8/30/2014
Atlas,DC,DC,8/30/2014
DC Brau,DC,DC,8/30/2014
Denizens,Silver Spring,MD,8/30/2014
Paulaner,Manhattan,NY,10/12/2014
Queen City,Burlington,VT,10/24/2014
Switchback,Burlington,VT,10/24/2014
Zero Gravity,Burlington,VT,10/24/2014
Four Quarters,Winooski,VT,10/25/2014
Lost Nation,Morristown,VT,10/25/2014
Rock Art,Morrisville,VT,10/25/2014
14th Star,St Albans,VT,10/26/2014
Fiddlehead,Burlington,VT,10/26/2014
Magic Hat,Burlington,VT,10/26/2014
Bronx,Bronx,NY,11/15/2014
Second Story,Philadelphia,PA,11/22/2014
Tired Hands,Ardmore,PA,11/22/2014
Flying Bison,Buffalo,NY,11/29/2014
Resurgence,Buffalo,NY,11/29/2014
Northampton,Northampton,MA,12/7/2014
Keg and Lantern,Brooklyn,NY,12/13/2014
Roc,Rochester,NY,12/20/2014
Greenpoint Beer and Ale,Brooklyn,NY,12/31/2014
Cambridge,Boston,MA,1/2/2015
Harpoon,Boston,MA,1/2/2015
Night Shift,Boston,MA,1/3/2015
Broken Bow,Tuckahoe,NY,1/31/2015
Threes,Brooklyn,NY,2/7/2015
McFate,Phoenix,AZ,3/14/2015
OHSO,Phoenix,AZ,3/14/2015
Scottsdale Beer,Phoenix,AZ,3/14/2015
Phoenix Ale,Phoenix,AZ,3/15/2015
Two Brothers,Phoenix,AZ,3/15/2015
Four Peaks,Phoenix,AZ,3/18/2015
Element,Turners Falls,MA,4/4/2015
Flagship,Staten Island,NY,4/12/2015
Courtyard,New Orleans,LA,4/18/2015
Big Alice,Queens,NY,4/26/2015
Right Proper,DC,DC,5/23/2015
Bluejacket,DC,DC,5/25/2015
Whetstone,Brattleboro,VT,5/30/2015
LIC Beer Project,Queens,NY,6/27/2015
Swiftwater,Rochester,NY,7/3/2015
Cricket Hill,Fairfield,NJ,7/18/2015
Magnify,Fairfield,NJ,7/18/2015
Allagash,Portland,ME,7/31/2015
Austin Street,Portland,ME,7/31/2015
Bissell Brothers,Portland,ME,7/31/2015
Foundation,Portland,ME,7/31/2015
Maine,Portland,ME,7/31/2015
Liquid Riot,Portland,ME,8/1/2015
Oxbow,Portland,ME,8/1/2015
Rising Tide,Portland,ME,8/1/2015
Peekskill,Peekskill,NY,8/22/2015
Finback,Queens,NY,8/23/2015
Carton,Atlantic Highlands,NJ,8/29/2015
Kane,Ocean Township,NJ,8/29/2015
Burial,Asheville,NC,9/5/2015
Green Man,Asheville,NC,9/5/2015
Hi-Wire,Asheville,NC,9/5/2015
Twin Leaf,Asheville,NC,9/5/2015
Wicked Weed,Asheville,NC,9/5/2015
Sierra Nevada Asheville,Asheville,NC,9/6/2015
Crazy Mountain,Edwards,CO,9/26/2015
Vail,Vail,CO,9/26/2015
Breckenridge,Breckenridge,CO,9/27/2015
Broken Compass,Breckenridge,CO,9/27/2015
Crooked Stave,Denver,CO,9/28/2015
Jagged Mountain,Denver,CO,9/28/2015
Departed Soles,Jersey City,NJ,11/14/2015
Big Ditch,Buffalo,NY,11/28/2015
Bellwoods,Toronto,Canada,12/19/2015
12 Gates,Williamsville,NY,12/24/2015
New York Beer Project,Lockport,NY,12/27/2015
Strong Rope,Brooklyn,NY,1/3/2016
Kelso,Brooklyn,NY,1/17/2016
Jersey Girl,Hackettstown,NJ,4/23/2016
Periodic,Leadville,CO,4/30/2016
Eddyline,Buena Vista,CO,5/1/2016
Elevation,Poncha Springs,CO,5/1/2016
Fort Collins,Fort Collins,CO,5/2/2016
Funkwerks,Fort Collins,CO,5/2/2016
New Belgium Fort Collins/Asheville,Fort Collins,CO,5/2/2016
Odell,Fort Collins,CO,5/2/2016
